강의명,범주,평점,가격,링크
"HTML, CSS, JS, Python 30분 요약강좌","HTML/CSS, Javascript, Python",98점,0,https://www.inflearn.com/course/제주코딩-웹개발-30분요약
제주코딩베이스캠프 Code Festival: Python 100제,"Python, 알고리즘",93점,55000,https://www.inflearn.com/course/파이썬-100제-제주코딩베이스캠프
WEB2 - Python 기초,Python,100점,0,https://www.inflearn.com/course/web2-python
"프로그래밍, 데이터 과학을 위한 파이썬 입문","Python, 빅데이터, 데이터 분석, 데이터 과학",91점,33000,https://www.inflearn.com/course/python-파이썬-입문-강좌
남박사의 파이썬 실전 100% 활용,"Python, 웹 개발, 웹 크롤링, 업무자동화",96점,66000,https://www.inflearn.com/course/파이썬-활용
마인크래프트 게임을 활용한 파이썬 프로그래밍 완벽 이해,Python,91점,55000,https://www.inflearn.com/course/마인크래프트-파이썬-프로그래밍
파이썬 데이터시각화 분석 실전 프로젝트,"데이터 시각화, Python, 데이터 분석",96점,33000,https://www.inflearn.com/course/파이썬-데이터-시각화-프로젝트
파이썬 입문 및 웹 크롤링을 활용한 다양한 자동화 어플리케이션 제작하기,"Python, 데이터 분석, 웹 크롤링, 업무자동화",98점,55000,https://www.inflearn.com/course/python-파이썬-웹-데이터-크롤링
파이썬 머신러닝 완벽 가이드,"Python, 머신러닝, 인공지능, 통계",99점,99000,https://www.inflearn.com/course/파이썬-머신러닝-완벽가이드
프로그래밍 시작하기 : 파이썬 입문 (Inflearn Original),"Python, 딥러닝, 데이터 분석",95점,55000,https://www.inflearn.com/course/프로그래밍-파이썬-입문-인프런-오리지널
공공데이터로 파이썬 데이터 분석 시작하기,"Python, 데이터 분석",95점,55000,https://www.inflearn.com/course/공공데이터로-파이썬-데이터-분석-시작하기
[NLP] IMDB 영화리뷰 감정 분석을 통한 파이썬 텍스트 분석과 자연어 처리,"Python, 데이터 과학",93점,22000,https://www.inflearn.com/course/nlp-imdb-파이썬-자연어-처리
초보자도 간단히 단숨에 배우는 파이썬 프로그래밍,Python,100점,0,https://www.inflearn.com/course/초간단-파이썬
머신러닝 이론 및 파이썬 실습,"Python, 머신러닝",96점,0,https://www.inflearn.com/course/머신러닝이론-파이썬실습
파이썬 라즈베리파이 IoT프로젝트-원격모니터링 자동차,"Python, Linux, Raspberry Pi, IoT",100점,33000,https://www.inflearn.com/course/iot
파이썬 사용자를 위한 웹개발 입문 A to Z Django + Bootstrap,"Python, Django, Bootstrap",90점,55000,https://www.inflearn.com/course/파이썬
[OpenCV] 파이썬 딥러닝 영상처리 프로젝트 - 손흥민을 찾아라!,"Python, 딥러닝, OpenCV",94점,55000,https://www.inflearn.com/course/딥러닝-파이썬-영상처리-손흥민
우리를 위한 프로그래밍 : 파이썬 중급 (Inflearn Original),Python,93점,55000,https://www.inflearn.com/course/프로그래밍-파이썬-중급-인프런-오리지널
파이썬 프로그래밍,"Python, 데이터베이스",96점,0,https://www.inflearn.com/course/파이썬-프로그래밍
파이썬 알고리즘 문제풀이(코딩테스트 대비),"자료구조, Python",100점,66000,https://www.inflearn.com/course/파이썬-알고리즘-문제풀이-코딩테스트
"[텐서플로2] 파이썬 딥러닝 완전정복 - GAN, BERT, RNN, CNN 최신기법","Tensorflow, Python, 딥러닝",80점,33000,https://www.inflearn.com/course/텐서플로-파이썬딥러닝-GAN-BERT-RNN-CNN
